"price","tax","sqft","built"
649,7869,1356,1915
469.5,4544,767,1914
350,6153,514,2007
629,9552,1265,1922
519,3149,1045,1922
425,6324,940,1939
525,8615,775,1924
575,9177,1180,1942
689,9770,1210,1935
309,4226,542,1908
440,5600,1054,1918
419,5939,925,1924
399,6999,653,2007
499,6475,920,1906
829,6724,1376,1948
519,6604,1067,1923
425,3355,792,1923
99.888,6541,477,1898
560,9017,1132,1940
315,2355,618,1994
595,9609,1179,1992
545,7779,1160,2006
410,4418,885,1923
599,7287,1283,1924
619,8390,943,1906
299,3120,948,1925
535,4204,1055,1906
630,4654,1108,1900
635,6231,1247,1923
445,6829,1017,1912
550,2619,1300,1922
324.9,4893,600,1948
439,4726,1017,1920
299,3019,1176,1927
699,7963,1076,1926
419,4002,868,1914
595,7111,720,1924
595,9652,931,1954
550,4549,1261,1907
437,2776,922,1926
619,7119,1213,1948
399,6568,682,1973
599.5,7065,1058,1927
448,6108,892,1915
599,4328,1196,1935
575,7666,1118,1924
519,7241,1137,1915
399,6033,1452,1992
388,3094,859,1916
459,5952,925,1924
399,2129,1250,1924
725,5286,600,2010
499,3990,1430,1910
489,4902,837,1925
392,7120,902,1945
699,9464,1095,1923
280,1442,680,1962
679,5679,1429,1954
275,6140,824,1900
370,1733,1050,1924
425,4354,867,2009
449,4224,980,1940
750,13460,NA,1946
399,2565,812,1914
665,2972,1016,1949
645,6327,1116,1926
539,8966,1092,1924
649,6126,1301,1947
599,9739,1070,1960
699,10716,1415,1946
